file,recipe_name,source_line,parsed_name,quantity_for_10,upload_quantity_1_serving,upload_unit,item_code,mapped_ingredient_name,match_status
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,1 kg ground chicken/Beef,chicken/Beef,1000,100,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,2 large eggs,eggs,2,0.2,pieces,142110,SAEDCO FRESH EGGS MEDIUM 12/30 CT,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,6 tbsp cornstarch,cornstarch,48,4.8,g,139554,A-AL AMC CORN STARCH 1/25KG,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,4 tbsp all-purpose flour,all-purpose flour,32,3.2,g,188559,A-FOOM WHITE FLOUR 1/45KG,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,4 tbsp sugar,sugar,50,5,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,3 tsp salt,salt,18,1.8,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,2 tsp ground black pepper,black pepper,5.4,0.54,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,2 tbsp soy sauce,soy sauce,0.03,0.003,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,4 tbsp milk,milk,0.06,0.006,l,118807,NADA UHT MILK FF 18/200ML,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,2 tbsp cooking oil,cooking oil,0.03,0.003,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,"4 to 6 cloves garlic, minced (optional)",garlic,15,1.5,g,PR000018,GARLIC (CHINA),mapped
Ch. Luncheon ChickenMeat Philippines recipe 10 persons.docx,Ch.Luncheon Chicken / Beef Philippines,2 tsp paprika powder for color (optional),paprika powder color,4.6,0.46,g,PHMIS-002,paprika powder color,generated_missing
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,"6 to 7 lbs (about 3 kg) bone-in, skin-on chicken thighs and drumsticks.",Chicken,2948.3504,294.84,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,1.5 cups regular or light soy sauce.,Soy Sauce,0.36,0.036,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,1 cup cane vinegar (or white vinegar).,Vinegar,0.24,0.024,l,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,"15 to 20 cloves, peeled and crushed (plus extra minced garlic for frying if desired).",Garlic,52.5,5.25,g,PR000018,GARLIC (CHINA),mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,1.5 tablespoons whole black peppercorns.,Peppercorns,12,1.2,g,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,8 to 10 dried bay leaves.,Bay Leaves,2.25,0.23,g,147040,TFG NIAZ BAY LEAVES 1/1KG,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,1.5 to 2 cups.,Water,0.42,0.042,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,"1 tablespoon brown sugar (optional, to balance acidity).",Sugar,12.5,1.25,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Adobo Philippines recipe 10 persons.docx,Chicken Adobo Philippines,1 tablespoon neutral oil for searing.,Oil,0.015,0.0015,l,185208,TAFGA OLIVE OIL 12/500ML,fuzzy
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,"2.5 kg (about 5.5 lbs) bone-in, skin-on chicken thighs and drumsticks",Chicken,2500,250,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,1.25 cups (approx. 300 ml),Soy Sauce,0.3,0.03,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,1.25 cups (approx. 300 ml) cane vinegar or white vinegar,Vinegar,0.3,0.03,l,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,2.5 cups (approx. 600 ml) whole-fat coconut milk,Coconut Milk,0.6,0.06,l,174476,AFCO COCONUT MILK POWDER 12/300G,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,"30 to 35 cloves, peeled and crushed",Garlic,97.5,9.75,g,PR000018,GARLIC (CHINA),mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,12 to 15 fresh bay leaves,Bay Leaves,3.375,0.34,g,147040,TFG NIAZ BAY LEAVES 1/1KG,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,1.5 tablespoons whole black peppercorns,Peppercorns,12,1.2,g,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,3 tablespoons coconut oil or vegetable oil,Oil,0.045,0.0045,l,185208,TAFGA OLIVE OIL 12/500ML,fuzzy
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,4 to 6 red or green finger chilies (siling labuyo or panigang) for heat,red green finger chilies,25,2.5,g,PR000009,GREEN PEPPER (LBN),mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,"1 to 2 tablespoons brown sugar (optional, to balance tartness) [1",Sugar,18.75,1.88,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,2,Sugar,200,20,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,3,Sugar,300,30,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Adobo coconut Philippines recipe 10 persons.docx,Chicken Adobo coconut Philippines,4],Sugar,400,40,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"2 kg boneless chicken thighs or breast, cut into small cubes",boneless chicken thighs breast cubes,2000,200,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"500 g chicken liver or beef liver, cubed (optional, adds traditional depth)",chicken liver beef liver,500,50,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"8 pcs regular hot dogs or Vienna sausages, sliced diagonally (kid-friendly favorite)",hot dogs Vienna sausages diagonally,360,36,g,182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,2 cups tomato sauce,tomato sauce,0.48,0.048,l,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,¼ cup tomato paste,tomato paste,60,6,g,103023,TAFGA LUNA TOMATO PASTE 24/400G,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,170 g liver spread (about 2 small cans),liver spread,170,17,g,PHMIS-001,liver spread,generated_missing
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,4 tbsp soy sauce,soy sauce,0.06,0.006,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,3 to 4 cups water or low-sodium chicken broth,water low-sodium chicken broth,0.84,0.084,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"4 medium potatoes, peeled and cubed",potatoes,720,72,g,PR000022,POTATO (LOCAL),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"2 large carrots, peeled and cubed",carrots,200,20,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,1 large red bell pepper,red bell pepper,150,15,g,PR000009,GREEN PEPPER (LBN),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"1 large green bell pepper, chopped",green bell pepper,150,15,g,PR000009,GREEN PEPPER (LBN),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"2 medium onions, chopped",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,"8 to 10 cloves garlic, minced",garlic,27,2.7,g,PR000018,GARLIC (CHINA),mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,½ cup raisins (optional for a touch of sweetness),raisins,120,12,g,404314,A-5 DIAMOND RAISIN 1/10KG,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,½ cup green peas,green peas,120,12,g,404330,A-TOMEX GREEN PEAS 4/2.5KG,fuzzy
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,3 pcs dried bay leaves (laurel),bay leaves,0.75,0.07,g,147040,TFG NIAZ BAY LEAVES 1/1KG,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,1 tbsp sugar (to balance the acidity),sugar,12.5,1.25,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
Chicken Menudo Philippines recipe 10 persons.docx,Chicken Menudo Philippines,Juice of 5 to 6 pcs calamansi (or 3 tbsp lemon juice),Juice 5 6 calamansi,550,55,g,PR000090,LEMON (AFRICAN/TURKEY),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,3.5 lbs (about 1.5 kg) chicken breast or bone-in chicken pieces,Chicken,1587.5733,158.76,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,250–300 grams (glass or cellophane noodles),Sotanghon noodles,275,27.5,g,402514,A- MAKATI CHINESE NOODLES 30/200G,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,16–18 cups,Water or chicken broth,4.08,0.408,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,2 medium onions (chopped),onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,8 to 10 cloves garlic (minced),garlic,27,2.7,g,PR000018,GARLIC (CHINA),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,1 thumb-sized ginger (julienned),ginger,20,2,g,PR000019,GINGER (CHINA),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,2 medium carrots (julienned),carrots,200,20,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,3 cups shredded cabbage or napa cabbage,shredded cabbage napa cabbage,720,72,g,PR000002,CABBAGE (LOCAL),mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,2 stalks celery (chopped),celery,200,20,g,PHMIS-003,celery,generated_missing
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,3 tablespoons fish sauce (patis),fish sauce,0.045,0.0045,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,2 pieces chicken bouillon cubes,chicken bouillon cubes,40,4,g,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,"1 tablespoon annatto powder (atsuete) dissolved in 1/2 cup warm water, salt , ground black pepper to taste",annatto powder dissolved in 1/2 warm water salt black pepper,0.015,0.0015,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chicken Sotanghon Philippines recipe 10 persons.docx,Chicken Sotanghon Philippines,4 tablespoons,Cooking oil,0.06,0.006,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,"2.5 to 3 kg (about 5.5 to 6.5 lbs), cut into serving pieces (bone-in thighs or a mix of cuts work best)",Chicken,2750,275,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,3 to 4 cups (gata),Coconut Milk,0.84,0.084,l,174476,AFCO COCONUT MILK POWDER 12/300G,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,2 cups,Water or Chicken Broth,0.48,0.048,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,2 large onions (chopped),onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,"10 cloves garlic (minced),",garlic,30,3,g,PR000018,GARLIC (CHINA),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,2 thumb-sized pieces of ginger (minced or julienned),ginger,40,4,g,PR000019,GINGER (CHINA),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,5 to 6 tablespoons of mild yellow curry powder,Curry Powder,38.5,3.85,g,GR000041,SHAN CURRY POWDER 10/1KG,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,4 to 5 tablespoons (adjust to taste),Fish Sauce (Patis),0.0675,0.0068,l,273104,A-AFFCO FISH SAUCE 12/700ML,mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,4 to 5 medium potatoes (cubed),potatoes,810,81,g,PR000022,POTATO (LOCAL),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,"3 to 4 medium carrots (sliced or cubed),",carrots,350,35,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,"2 large bell peppers (red , green, sliced)",bell peppers,300,30,g,PR000009,GREEN PEPPER (LBN),mapped
Chicken curry Philippines recipe 10 persons.docx,Chicken curry Philippines,4 to 6 tablespoons for sautéing and pan-frying,Cooking Oil,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,"25 to 30 pcs Chicken franks, sliced diagonally",Chicken franks diagonally,1237.5,123.75,g,182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,5 tbsp cooking oil,cooking oil,0.075,0.0075,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,"8 cloves garlic, minced",garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,"2 large white onions, sliced",white onions,300,30,g,PR000049,ONION (WHITE),mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,10 tbsp banana ketchup or tomato ketchup,banana ketchup tomato ketchup,0.15,0.015,l,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,mapped
Chicken franks Pilippines recipe 10 persons.docx,Chicken franks Pilippines,5 tbsp oyster sauce,oyster sauce,0.075,0.0075,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,7 to 8 pounds chicken pieces (drumsticks or thighs),chicken,3401.9428,340.19,g,205101,TANMIAH FRESH CHICKEN 1/900G,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,"4 cloves garlic, minced",garlic,12,1.2,g,PR000018,GARLIC (CHINA),mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,"2 small onions, minced",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,5 tablespoons oyster sauce,oyster sauce,0.075,0.0075,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,2,,200,20,g,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,fuzzy
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,1/2 teaspoons salt,salt,3,0.3,g,166780,TAFGA REHAN SALT IODIZED 24/700G,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,2,,200,20,g,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,fuzzy
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,1/2 teaspoons ground black pepper,black pepper,1.35,0.14,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,2,,200,20,g,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,fuzzy
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,1/2 tablespoons all-purpose seasoning powder (like Magic Sarap),all-purpose seasoning powder,3.5,0.35,g,PHMIS-004,all-purpose seasoning powder,generated_missing
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,"3 large eggs, beaten",eggs beaten,3,0.3,pieces,142110,SAEDCO FRESH EGGS MEDIUM 12/30 CT,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,3/4 cup cornstarch,cornstarch,96,9.6,g,139554,A-AL AMC CORN STARCH 1/25KG,mapped
Chicken fry Philippines recipe 10 persons.docx,Chicken fry Philippines,4 to 5 cups cooking oil for deep frying,cooking oil deep frying,1.08,0.108,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,500g Pancit Canton noodles (wheat flour/egg noodles),Pancit Canton noodles,500,50,g,402514,A- MAKATI CHINESE NOODLES 30/200G,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,"500g chicken breast or beef, thinly sliced",chicken breast beef,500,50,g,180259,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,"200g medium shrimp, peeled and deveined (optional)",shrimp deveined,0.2,0.02,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,"4–5 cloves garlic, minced",5 garlic,13.5,1.35,g,PR000018,GARLIC (CHINA),mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,"2 medium onions, sliced",onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,"2 medium carrots, julienned (cut into matchsticks)",carrots,200,20,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,4 cups shredded cabbage,shredded cabbage,960,96,g,PR000002,CABBAGE (LOCAL),mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,5 tbsp soy sauce,soy sauce,0.075,0.0075,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,3 tbsp oyster sauce,oyster sauce,0.045,0.0045,l,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,5–6 cups chicken broth or water,6 chicken broth water,1.32,0.132,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Chinese noodle Philippines recipe 10 persons.docx,Chinese noodle Philippines,4 tbsp cooking oil,cooking oil,0.06,0.006,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,3 tablespoons cooking oil,cooking oil,0.045,0.0045,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"3 medium onions, chopped",onions,450,45,g,PR000020,DRY ONION (LOCAL),mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"12 cloves garlic, minced",garlic,36,3.6,g,PR000018,GARLIC (CHINA),mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"1 large thumb-sized piece of fresh ginger, minced",ginger,20,2,g,PR000019,GINGER (CHINA),mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,4 cans (13.5 oz or 400 ml each) full-fat coconut milk,full-fat coconut milk,0.62,0.062,l,174476,AFCO COCONUT MILK POWDER 12/300G,mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,2 cups water or vegetable broth (if needed to thin the sauce),water vegetable broth,0.48,0.048,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Coconut vegetable Philippines recipe 10 persons.docx,Coconut vegetable Philippines,"12 cups kabocha squash (kalabasa), peeled and cubed into 1.5-inch pieces",kabocha squash 1 5-inch,2880,288,g,PHMIS-013,kabocha squash 1 5-inch,generated_missing
